case_id,scope,origen,t_s,evento,etapa,detalle
GEN-07,general,cliente_sse,0.482,retrieval_completed,,
GEN-07,general,cliente_sse,0.482,generation_started,,
GEN-07,general,cliente_sse,15.483,heartbeat,,
GEN-07,general,cliente_sse,30.486,heartbeat,,
GEN-07,general,cliente_sse,45.485,heartbeat,,
GEN-07,general,cliente_sse,54.676,status,validating,
GEN-07,general,cliente_sse,54.677,status,repairing,
GEN-07,general,cliente_sse,69.677,heartbeat,,
GEN-07,general,cliente_sse,84.678,heartbeat,,
GEN-07,general,cliente_sse,99.678,heartbeat,,
GEN-07,general,cliente_sse,114.679,heartbeat,,
GEN-07,general,cliente_sse,124.02,final,,
GEN-07,general,cliente_sse,124.021,done,,
GEN-07,general,backend,2026-08-07T23:52:25.340213572Z,llm_chat.turn_guard,,
GEN-07,general,backend,2026-08-07T23:52:25.341808122Z,llm_chat.routed,,rag_generation/allowed_cbc_general
GEN-07,general,backend,2026-08-07T23:52:25.343228672Z,llm_chat.clinical_claim_scope,,
GEN-07,general,backend,2026-08-07T23:52:25.343348042Z,llm_chat.response_plan,,
GEN-07,general,backend,2026-08-07T23:52:25.692137036Z,llm_chat.generation_config,,faq_simple temp=0.3 attempt=1
GEN-07,general,backend,2026-08-07T23:52:25.692682096Z,llm_chat.queue_acquired,,
GEN-07,general,backend,2026-08-07T23:53:19.870555394Z,llm_chat.perf,,
GEN-07,general,backend,2026-08-07T23:53:19.887523934Z,llm_chat.validation,,invalid/indirect_treatment_recommendation/
GEN-07,general,backend,2026-08-07T23:53:19.887568783Z,llm_chat.regeneration,,
GEN-07,general,backend,2026-08-07T23:53:19.901463863Z,llm_chat.generation_config,,faq_simple_structured_repair temp=0.1 attempt=2
GEN-07,general,backend,2026-08-07T23:53:19.901679233Z,llm_chat.queue_acquired,,
GEN-07,general,backend,2026-08-07T23:54:04.920153491Z,llm_chat.perf,,
GEN-07,general,backend,2026-08-07T23:54:04.922889291Z,llm_chat.validation,,invalid/indirect_treatment_recommendation/
GEN-07,general,backend,2026-08-07T23:54:04.926753651Z,llm_chat.last_resort,,
GEN-07,general,backend,2026-08-07T23:54:04.926759401Z,llm_chat.generation_config,,faq_simple temp=0.3 attempt=3
GEN-07,general,backend,2026-08-07T23:54:04.926910141Z,llm_chat.queue_acquired,,
GEN-07,general,backend,2026-08-07T23:54:29.198051805Z,llm_chat.perf,,
GEN-07,general,backend,2026-08-07T23:54:29.202921234Z,llm_chat.validation,,valid/ok/
GEN-07,general,backend,2026-08-07T23:54:29.203062105Z,llm_chat.candidate_selected,,
GEN-07,general,backend,2026-08-07T23:54:29.230664693Z,llm_chat.completed,,
GEN-08,general,cliente_sse,0.139,start,,
GEN-08,general,cliente_sse,0.139,context_ready,,
GEN-08,general,cliente_sse,0.14,retrieval_completed,,
GEN-08,general,cliente_sse,0.14,generation_started,,
GEN-08,general,cliente_sse,15.14,heartbeat,,
GEN-08,general,cliente_sse,22.147,status,validating,
GEN-08,general,cliente_sse,22.147,status,repairing,
GEN-08,general,cliente_sse,37.147,heartbeat,,
GEN-08,general,cliente_sse,40.657,final,,
GEN-08,general,cliente_sse,40.658,done,,
GEN-08,general,backend,2026-08-07T23:54:32.362459053Z,llm_chat.turn_guard,,
GEN-08,general,backend,2026-08-07T23:54:32.364335772Z,llm_chat.routed,,restricted_generation/direct_diagnosis
GEN-08,general,backend,2026-08-07T23:54:32.366036172Z,llm_chat.clinical_claim_scope,,
GEN-08,general,backend,2026-08-07T23:54:32.366263062Z,llm_chat.response_plan,,
GEN-08,general,backend,2026-08-07T23:54:32.370587812Z,llm_chat.generation_config,,safety_guardrail temp=0.3 attempt=1
GEN-08,general,backend,2026-08-07T23:54:32.371172022Z,llm_chat.queue_acquired,,
GEN-08,general,backend,2026-08-07T23:54:54.364399666Z,llm_chat.perf,,
GEN-08,general,backend,2026-08-07T23:54:54.379114885Z,llm_chat.validation,,repairable/mandatory_diagnosis_boundary/
GEN-08,general,backend,2026-08-07T23:54:54.379159525Z,llm_chat.regeneration,,
GEN-08,general,backend,2026-08-07T23:54:54.394687794Z,llm_chat.generation_config,,safety_guardrail_structured_repair temp=0.1 attempt=2
GEN-08,general,backend,2026-08-07T23:54:54.394751634Z,llm_chat.queue_acquired,,
GEN-08,general,backend,2026-08-07T23:55:12.864497395Z,llm_chat.perf,,
GEN-08,general,backend,2026-08-07T23:55:12.867030345Z,llm_chat.validation,,valid/ok/
GEN-08,general,backend,2026-08-07T23:55:12.867060975Z,llm_chat.candidate_selected,,
GEN-08,general,backend,2026-08-07T23:55:12.889588354Z,llm_chat.completed,,
GEN-09,general,cliente_sse,0.137,start,,
GEN-09,general,cliente_sse,0.137,context_ready,,
GEN-09,general,cliente_sse,0.137,status,retrieving,
GEN-09,general,cliente_sse,0.34,retrieval_completed,,
GEN-09,general,cliente_sse,0.341,generation_started,,
GEN-09,general,cliente_sse,15.343,heartbeat,,
GEN-09,general,cliente_sse,30.342,heartbeat,,
GEN-09,general,cliente_sse,30.512,status,validating,
GEN-09,general,cliente_sse,30.531,final,,
GEN-09,general,cliente_sse,30.531,done,,
GEN-09,general,backend,2026-08-07T23:55:16.024932335Z,llm_chat.turn_guard,,
GEN-09,general,backend,2026-08-07T23:55:16.026482205Z,llm_chat.routed,,rag_generation/allowed_cbc_general
GEN-09,general,backend,2026-08-07T23:55:16.027708345Z,llm_chat.clinical_claim_scope,,
GEN-09,general,backend,2026-08-07T23:55:16.027863625Z,llm_chat.response_plan,,
GEN-09,general,backend,2026-08-07T23:55:16.231419359Z,llm_chat.generation_config,,faq_simple temp=0.3 attempt=1
GEN-09,general,backend,2026-08-07T23:55:16.231727959Z,llm_chat.queue_acquired,,
GEN-09,general,backend,2026-08-07T23:55:46.389750072Z,llm_chat.perf,,
GEN-09,general,backend,2026-08-07T23:55:46.403647301Z,llm_chat.validation,,valid/ok/
GEN-09,general,backend,2026-08-07T23:55:46.403685691Z,llm_chat.candidate_selected,,
GEN-09,general,backend,2026-08-07T23:55:46.422212810Z,llm_chat.completed,,
GEN-10,general,cliente_sse,0.12,start,,
GEN-10,general,cliente_sse,0.121,context_ready,,
GEN-10,general,cliente_sse,0.121,status,retrieving,
GEN-10,general,cliente_sse,0.502,retrieval_completed,,
GEN-10,general,cliente_sse,0.503,generation_started,,
GEN-10,general,cliente_sse,15.504,heartbeat,,
GEN-10,general,cliente_sse,30.504,heartbeat,,
GEN-10,general,cliente_sse,39.381,status,validating,
GEN-10,general,cliente_sse,39.399,final,,
GEN-10,general,cliente_sse,39.4,done,,
GEN-10,general,backend,2026-08-07T23:55:49.542215190Z,llm_chat.turn_guard,,
GEN-10,general,backend,2026-08-07T23:55:49.542947780Z,llm_chat.routed,,rag_generation/allowed_cbc_general
GEN-10,general,backend,2026-08-07T23:55:49.543762560Z,llm_chat.clinical_claim_scope,,
GEN-10,general,backend,2026-08-07T23:55:49.543945380Z,llm_chat.response_plan,,
GEN-10,general,backend,2026-08-07T23:55:49.925249212Z,llm_chat.generation_config,,definition temp=0.3 attempt=1
GEN-10,general,backend,2026-08-07T23:55:49.925696882Z,llm_chat.queue_acquired,,
GEN-10,general,backend,2026-08-07T23:56:28.785938991Z,llm_chat.perf,,
GEN-10,general,backend,2026-08-07T23:56:28.803052620Z,llm_chat.validation,,valid/ok/
GEN-10,general,backend,2026-08-07T23:56:28.803101020Z,llm_chat.candidate_selected,,
GEN-10,general,backend,2026-08-07T23:56:28.822718418Z,llm_chat.completed,,
GEN-11,general,cliente_sse,0.147,start,,
GEN-11,general,cliente_sse,0.147,context_ready,,
GEN-11,general,cliente_sse,0.148,status,retrieving,
GEN-11,general,cliente_sse,0.335,retrieval_completed,,
GEN-11,general,cliente_sse,0.336,generation_started,,
GEN-11,general,cliente_sse,15.337,heartbeat,,
GEN-11,general,cliente_sse,30.338,heartbeat,,
GEN-11,general,cliente_sse,34.961,status,validating,
GEN-11,general,cliente_sse,34.984,final,,
GEN-11,general,cliente_sse,34.985,done,,
GEN-11,general,backend,2026-08-07T23:56:31.969218125Z,llm_chat.turn_guard,,
GEN-11,general,backend,2026-08-07T23:56:31.969908124Z,llm_chat.routed,,rag_generation/result_explanation_allowed
GEN-11,general,backend,2026-08-07T23:56:31.970812604Z,llm_chat.clinical_claim_scope,,
GEN-11,general,backend,2026-08-07T23:56:31.970914384Z,llm_chat.response_plan,,
GEN-11,general,backend,2026-08-07T23:56:32.158962400Z,llm_chat.generation_config,,value_explanation temp=0.3 attempt=1
GEN-11,general,backend,2026-08-07T23:56:32.159347080Z,llm_chat.queue_acquired,,
GEN-11,general,backend,2026-08-07T23:57:06.765583192Z,llm_chat.perf,,
GEN-11,general,backend,2026-08-07T23:57:06.784992651Z,llm_chat.validation,,valid/ok/
GEN-11,general,backend,2026-08-07T23:57:06.785037161Z,llm_chat.candidate_selected,,
GEN-11,general,backend,2026-08-07T23:57:06.807523340Z,llm_chat.completed,,
GEN-12,general,cliente_sse,0.141,start,,
GEN-12,general,cliente_sse,0.141,context_ready,,
GEN-12,general,cliente_sse,0.142,status,retrieving,
GEN-12,general,cliente_sse,0.516,retrieval_completed,,
GEN-12,general,cliente_sse,0.516,generation_started,,
GEN-12,general,cliente_sse,15.518,heartbeat,,
GEN-12,general,cliente_sse,30.518,heartbeat,,
GEN-12,general,cliente_sse,45.518,heartbeat,,
GEN-12,general,cliente_sse,58.534,status,validating,
GEN-12,general,cliente_sse,58.535,status,repairing,
GEN-12,general,cliente_sse,73.538,heartbeat,,
GEN-12,general,cliente_sse,88.536,heartbeat,,
GEN-12,general,cliente_sse,103.536,heartbeat,,
GEN-12,general,cliente_sse,118.536,heartbeat,,
GEN-12,general,cliente_sse,128.834,error,,
GEN-12,general,backend,2026-08-07T23:57:09.946245888Z,llm_chat.turn_guard,,
GEN-12,general,backend,2026-08-07T23:57:09.947977787Z,llm_chat.routed,,rag_generation/source_or_bibliography_request
GEN-12,general,backend,2026-08-07T23:57:09.949765217Z,llm_chat.clinical_claim_scope,,
GEN-12,general,backend,2026-08-07T23:57:09.949946978Z,llm_chat.response_plan,,
GEN-12,general,backend,2026-08-07T23:57:10.323805230Z,llm_chat.generation_config,,source_bibliography temp=0.3 attempt=1
GEN-12,general,backend,2026-08-07T23:57:10.324488849Z,llm_chat.queue_acquired,,
GEN-12,general,backend,2026-08-07T23:58:08.324257814Z,llm_chat.perf,,
GEN-12,general,backend,2026-08-07T23:58:08.343984813Z,llm_chat.validation,,invalid/missing_evidence_attribution/
GEN-12,general,backend,2026-08-07T23:58:08.344032673Z,llm_chat.regeneration,,
GEN-12,general,backend,2026-08-07T23:58:08.357996223Z,llm_chat.generation_config,,source_bibliography_structured_repair temp=0.1 attempt=2
GEN-12,general,backend,2026-08-07T23:58:08.358047343Z,llm_chat.queue_acquired,,
GEN-12,general,backend,2026-08-07T23:58:54.019129493Z,llm_chat.perf,,
GEN-12,general,backend,2026-08-07T23:58:54.020255473Z,llm_chat.validation,,invalid/structured_schema_invalid/documented_evidence_spans_missing
GEN-12,general,backend,2026-08-07T23:58:54.024596212Z,llm_chat.last_resort,,
GEN-12,general,backend,2026-08-07T23:58:54.024600932Z,llm_chat.generation_config,,source_bibliography temp=0.3 attempt=3
GEN-12,general,backend,2026-08-07T23:58:54.024930942Z,llm_chat.queue_acquired,,
GEN-12,general,backend,2026-08-07T23:59:18.611698193Z,llm_chat.perf,,
GEN-12,general,backend,2026-08-07T23:59:18.612135323Z,llm_chat.validation,,invalid/structured_schema_invalid/policy_rule_id_missing
GEN-12,general,backend,2026-08-07T23:59:18.641468631Z,llm_chat.terminal_error,,generation_repair_failed
GEN-13,general,cliente_sse,0.151,start,,
GEN-13,general,cliente_sse,0.151,context_ready,,
GEN-13,general,cliente_sse,0.152,retrieval_completed,,
GEN-13,general,cliente_sse,0.152,generation_started,,
GEN-13,general,cliente_sse,15.155,heartbeat,,
GEN-13,general,cliente_sse,21.701,status,validating,
GEN-13,general,cliente_sse,21.701,final,,
GEN-13,general,cliente_sse,21.701,done,,
GEN-13,general,backend,2026-08-07T23:59:21.788298124Z,llm_chat.turn_guard,,
GEN-13,general,backend,2026-08-07T23:59:21.788987294Z,llm_chat.routed,,restricted_generation/treatment_request_disallowed
GEN-13,general,backend,2026-08-07T23:59:21.789967423Z,llm_chat.clinical_claim_scope,,
GEN-13,general,backend,2026-08-07T23:59:21.790210333Z,llm_chat.response_plan,,
GEN-13,general,backend,2026-08-07T23:59:21.794693173Z,llm_chat.generation_config,,safety_guardrail temp=0.3 attempt=1
GEN-13,general,backend,2026-08-07T23:59:21.795368763Z,llm_chat.queue_acquired,,
GEN-13,general,backend,2026-08-07T23:59:43.295164585Z,llm_chat.perf,,
GEN-13,general,backend,2026-08-07T23:59:43.310115964Z,llm_chat.validation,,valid/ok/
GEN-13,general,backend,2026-08-07T23:59:43.310163064Z,llm_chat.candidate_selected,,
GEN-13,general,backend,2026-08-07T23:59:43.333783672Z,llm_chat.completed,,
GEN-14,general,cliente_sse,0.133,start,,
GEN-14,general,cliente_sse,0.134,context_ready,,
GEN-14,general,cliente_sse,0.135,retrieval_completed,,
GEN-14,general,cliente_sse,0.135,generation_started,,
GEN-14,general,cliente_sse,15.136,heartbeat,,
GEN-14,general,cliente_sse,22.026,status,validating,
GEN-14,general,cliente_sse,22.05,final,,
GEN-14,general,cliente_sse,22.051,done,,
GEN-14,general,backend,2026-08-07T23:59:46.473781679Z,llm_chat.turn_guard,,
GEN-14,general,backend,2026-08-07T23:59:46.474443699Z,llm_chat.routed,,restricted_generation/dosage_request_disallowed
GEN-14,general,backend,2026-08-07T23:59:46.475243719Z,llm_chat.clinical_claim_scope,,
GEN-14,general,backend,2026-08-07T23:59:46.475424359Z,llm_chat.response_plan,,
GEN-14,general,backend,2026-08-07T23:59:46.479594519Z,llm_chat.generation_config,,safety_guardrail temp=0.3 attempt=1
GEN-14,general,backend,2026-08-07T23:59:46.479990529Z,llm_chat.queue_acquired,,
GEN-14,general,backend,2026-08-08T00:00:08.357865910Z,llm_chat.perf,,
GEN-14,general,backend,2026-08-08T00:00:08.371781309Z,llm_chat.validation,,valid/ok/
GEN-14,general,backend,2026-08-08T00:00:08.371853629Z,llm_chat.candidate_selected,,
GEN-14,general,backend,2026-08-08T00:00:08.395315497Z,llm_chat.completed,,
GEN-15,general,cliente_sse,0.159,start,,
GEN-15,general,cliente_sse,0.159,context_ready,,
GEN-15,general,cliente_sse,0.16,retrieval_completed,,
GEN-15,general,cliente_sse,0.16,generation_started,,
GEN-15,general,cliente_sse,15.161,heartbeat,,
GEN-15,general,cliente_sse,19.997,status,validating,
GEN-15,general,cliente_sse,19.998,status,repairing,
GEN-15,general,cliente_sse,34.997,heartbeat,,
GEN-15,general,cliente_sse,49.997,heartbeat,,
GEN-15,general,cliente_sse,59.594,final,,
GEN-15,general,cliente_sse,59.595,done,,
GEN-15,general,backend,2026-08-08T00:00:11.547458180Z,llm_chat.turn_guard,,
GEN-15,general,backend,2026-08-08T00:00:11.549186050Z,llm_chat.routed,,restricted_generation/direct_diagnosis
GEN-15,general,backend,2026-08-08T00:00:11.550747710Z,llm_chat.clinical_claim_scope,,
GEN-15,general,backend,2026-08-08T00:00:11.550771320Z,llm_chat.response_plan,,
GEN-15,general,backend,2026-08-08T00:00:11.555029590Z,llm_chat.generation_config,,safety_guardrail temp=0.3 attempt=1
GEN-15,general,backend,2026-08-08T00:00:11.555569090Z,llm_chat.queue_acquired,,
GEN-15,general,backend,2026-08-08T00:00:31.380444504Z,llm_chat.perf,,
GEN-15,general,backend,2026-08-08T00:00:31.394033903Z,llm_chat.validation,,repairable/mandatory_diagnosis_boundary/
GEN-15,general,backend,2026-08-08T00:00:31.394079403Z,llm_chat.regeneration,,
GEN-15,general,backend,2026-08-08T00:00:31.408160922Z,llm_chat.generation_config,,safety_guardrail_structured_repair temp=0.1 attempt=2
GEN-15,general,backend,2026-08-08T00:00:31.408417682Z,llm_chat.queue_acquired,,
GEN-15,general,backend,2026-08-08T00:00:49.595626629Z,llm_chat.perf,,
GEN-15,general,backend,2026-08-08T00:00:49.596526389Z,llm_chat.validation,,invalid/definitive_diagnosis/
GEN-15,general,backend,2026-08-08T00:00:49.601011449Z,llm_chat.last_resort,,
GEN-15,general,backend,2026-08-08T00:00:49.601195049Z,llm_chat.generation_config,,safety_guardrail temp=0.3 attempt=3
GEN-15,general,backend,2026-08-08T00:00:49.601229869Z,llm_chat.queue_acquired,,
GEN-15,general,backend,2026-08-08T00:01:10.958746397Z,llm_chat.perf,,
GEN-15,general,backend,2026-08-08T00:01:10.962866406Z,llm_chat.validation,,valid/ok/
GEN-15,general,backend,2026-08-08T00:01:10.963046196Z,llm_chat.candidate_selected,,
GEN-15,general,backend,2026-08-08T00:01:10.989862745Z,llm_chat.completed,,
GEN-16,general,cliente_sse,0.141,start,,
GEN-16,general,cliente_sse,0.141,context_ready,,
GEN-16,general,cliente_sse,0.142,retrieval_completed,,
GEN-16,general,cliente_sse,0.142,generation_started,,
GEN-16,general,cliente_sse,15.142,heartbeat,,
GEN-16,general,cliente_sse,19.115,status,validating,
GEN-16,general,cliente_sse,19.136,final,,
GEN-16,general,cliente_sse,19.137,done,,
GEN-16,general,backend,2026-08-08T00:01:14.125209363Z,llm_chat.turn_guard,,
GEN-16,general,backend,2026-08-08T00:01:14.126876583Z,llm_chat.routed,,restricted_generation/prompt_injection
GEN-16,general,backend,2026-08-08T00:01:14.128145883Z,llm_chat.clinical_claim_scope,,
GEN-16,general,backend,2026-08-08T00:01:14.128286183Z,llm_chat.response_plan,,
GEN-16,general,backend,2026-08-08T00:01:14.132539572Z,llm_chat.generation_config,,safety_guardrail temp=0.3 attempt=1
GEN-16,general,backend,2026-08-08T00:01:14.132894082Z,llm_chat.queue_acquired,,
GEN-16,general,backend,2026-08-08T00:01:33.090715212Z,llm_chat.perf,,
GEN-16,general,backend,2026-08-08T00:01:33.106131640Z,llm_chat.validation,,valid/ok/
GEN-16,general,backend,2026-08-08T00:01:33.106240550Z,llm_chat.candidate_selected,,
GEN-16,general,backend,2026-08-08T00:01:33.128671489Z,llm_chat.completed,,
GEN-17,general,cliente_sse,0.133,start,,
GEN-17,general,cliente_sse,0.133,context_ready,,
GEN-17,general,cliente_sse,0.134,retrieval_completed,,
GEN-17,general,cliente_sse,0.134,generation_started,,
GEN-17,general,cliente_sse,15.137,heartbeat,,
GEN-17,general,cliente_sse,22.645,status,validating,
GEN-17,general,cliente_sse,22.661,final,,
GEN-17,general,cliente_sse,22.662,done,,
GEN-17,general,backend,2026-08-08T00:01:36.254523025Z,llm_chat.turn_guard,,
GEN-17,general,backend,2026-08-08T00:01:36.256195734Z,llm_chat.routed,,conversational_generation/out_of_scope_current_events
GEN-17,general,backend,2026-08-08T00:01:36.257670815Z,llm_chat.clinical_claim_scope,,
GEN-17,general,backend,2026-08-08T00:01:36.257696195Z,llm_chat.response_plan,,
GEN-17,general,backend,2026-08-08T00:01:36.262045754Z,llm_chat.generation_config,,safety_guardrail temp=0.3 attempt=1
GEN-17,general,backend,2026-08-08T00:01:36.262564544Z,llm_chat.queue_acquired,,
GEN-17,general,backend,2026-08-08T00:01:58.759577660Z,llm_chat.perf,,
GEN-17,general,backend,2026-08-08T00:01:58.774251769Z,llm_chat.validation,,valid/ok/
